iso3c,joined,still_in
ABW,2016-07-15,2022-07-04
AGO,2016-07-15,2022-07-04
AIA,2018-05-15,2022-07-04
ALB,2019-08-09,2022-07-04
AND,2017-01-06,2022-07-04
ARE,2018-05-15,2022-07-04
ARG,2016-07-15,2022-07-04
ARM,2019-02-07,2022-07-04
ATG,2018-11-16,2022-07-04
AUS,2016-07-15,2022-07-04
AUT,2016-07-15,2022-07-04
BEL,2016-07-15,2022-07-04
BEN,2016-07-15,2022-07-04
BFA,2016-07-15,2022-07-04
BGD,2016-07-15,2017-03-03
BGR,2016-07-15,2022-07-04
BHR,2018-05-15,2022-07-04
BHS,2018-05-15,2022-07-04
BIH,2019-07-09,2022-07-04
BLR,2021-02-01,2022-07-04
BLZ,2017-04-18,2022-07-04
BMU,2017-01-06,2022-07-04
BRA,2016-07-15,2022-07-04
BRB,2017-07-05,2022-07-04
BRN,2016-07-15,2022-07-04
BWA,2017-06-07,2022-07-04
CAN,2016-07-15,2022-07-04
CHE,2016-07-15,2022-07-04
CHL,2016-07-15,2022-07-04
CHN,2016-07-15,2022-07-04
CIV,2017-01-06,2022-07-04
CMR,2016-07-15,2022-07-04
COD,2016-07-15,2022-07-04
COG,2016-07-15,2022-07-04
COK,2019-01-02,2022-07-04
COL,2016-07-15,2022-07-04
CPV,2018-11-16,2022-07-04
CRI,2016-07-15,2022-07-04
CUW,2016-07-15,2022-07-04
CYM,2017-04-18,2022-07-04
CZE,2016-07-15,2022-07-04
DEU,2016-07-15,2022-07-04
DJI,2017-06-07,2022-07-04
DMA,2018-11-16,2022-07-04
DNK,2016-07-15,2022-07-04
DOM,2018-11-16,2022-07-04
EGY,2016-07-15,2022-07-04
ERI,2016-07-15,2017-01-06
ESP,2016-07-15,2022-07-04
EST,2016-07-15,2022-07-04
FIN,2016-07-15,2022-07-04
FRA,2016-07-15,2022-07-04
FRO,2019-02-07,2022-07-04
GAB,2016-07-15,2022-07-04
GBR,2016-07-15,2022-07-04
GEO,2016-07-15,2022-07-04
GGY,2016-07-15,2022-07-04
GIB,2019-07-09,2022-07-04
GRC,2016-07-15,2022-07-04
GRD,2018-11-16,2022-07-04
GRL,2019-02-07,2022-07-04
HKG,2016-07-15,2022-07-04
HND,2019-12-09,2022-07-04
HRV,2016-07-15,2022-07-04
HTI,2016-07-15,2022-07-04
HUN,2016-07-15,2022-07-04
IDN,2016-07-15,2022-07-04
IMN,2016-07-15,2022-07-04
IND,2016-07-15,2022-07-04
IRL,2016-07-15,2022-07-04
ISL,2016-07-15,2022-07-04
ISR,2016-07-15,2022-07-04
ITA,2016-07-15,2022-07-04
JAM,2016-07-15,2022-07-04
JEY,2016-07-15,2022-07-04
JOR,2019-12-09,2022-07-04
JPN,2016-07-15,2022-07-04
KAZ,2017-01-06,2022-07-04
KEN,2016-07-15,2022-07-04
KNA,2018-05-15,2022-07-04
KOR,2016-07-15,2022-07-04
LBR,2016-07-15,2022-07-04
LCA,2018-05-15,2022-07-04
LIE,2016-07-15,2022-07-04
LKA,2016-07-15,2022-07-04
LTU,2016-07-15,2022-07-04
LUX,2016-07-15,2022-07-04
LVA,2016-07-15,2022-07-04
MAC,2017-01-06,2022-07-04
MAR,2019-03-08,2022-07-04
MCO,2016-07-15,2022-07-04
MDV,2018-05-15,2022-07-04
MEX,2016-07-15,2022-07-04
MKD,2018-11-16,2022-07-04
MLT,2016-07-15,2022-07-04
MNE,2019-12-09,2022-07-04
MNG,2018-05-15,2022-07-04
MRT,2021-11-04,2022-07-04
MSR,2017-07-05,2022-07-04
MUS,2017-01-06,2022-07-04
MYS,2017-03-03,2022-07-04
"NAM",2019-08-09,2022-07-04
NGA,2016-07-15,2022-07-04
NLD,2016-07-15,2022-07-04
NOR,2016-07-15,2022-07-04
NZL,2016-07-15,2022-07-04
OMN,2017-10-20,2022-07-04
PAK,2016-07-15,2022-07-04
PAN,2017-01-06,2022-07-04
PER,2017-01-06,2022-07-04
PNG,2016-07-15,2022-07-04
POL,2016-07-15,2022-07-04
PRT,2016-07-15,2022-07-04
PRY,2016-07-15,2022-07-04
QAT,2018-05-15,2022-07-04
ROU,2016-07-15,2022-07-04
RUS,2016-07-15,2022-07-04
SAU,2016-07-15,2022-07-04
SEN,2016-07-15,2022-07-04
SGP,2016-07-15,2022-07-04
SLE,2016-07-15,2022-07-04
SMR,2016-07-15,2022-07-04
SRB,2018-05-15,2022-07-04
SVK,2016-07-15,2022-07-04
SVN,2016-07-15,2022-07-04
SWE,2016-07-15,2022-07-04
SWZ,2019-08-09,2022-07-04
SYC,2016-07-15,2022-07-04
TCA,2017-04-18,2022-07-04
TGO,2021-08-30,2022-07-04
THA,2017-06-07,2022-07-04
TTO,2018-05-15,2022-07-04
TUN,2018-05-15,2022-07-04
TUR,2016-07-15,2022-07-04
UKR,2017-01-06,2022-07-04
URY,2016-07-15,2022-07-04
USA,2016-07-15,2022-07-04
VCT,2018-11-16,2022-07-04
VGB,2017-04-18,2022-07-04
VNM,2017-07-05,2022-07-04
WSM,2021-02-01,2022-07-04
ZAF,2016-07-15,2022-07-04
ZMB,2018-05-15,2022-07-04
