country,ratification_date,iso3c,ratification_year
Australia,7 June 1971,AUS,1971
Austria,29 September 1961,AUT,1961
Belgium,13 September 1961,BEL,1961
Canada,10 April 1961,CAN,1961
Chile,7 May 2010,CHL,2010
Colombia,28 April 2020,COL,2020
Costa Rica,25 May 2021,CRI,2021
Czech Republic,21 December 1995,CZE,1995
Denmark,30 May 1961,DNK,1961
Estonia,9 December 2010,EST,2010
Finland,28 January 1969,FIN,1969
France,7 August 1961,FRA,1961
Germany,27 September 1961,DEU,1961
Greece,27 September 1961,GRC,1961
Hungary,7 May 1996,HUN,1996
Iceland,5 June 1961,ISL,1961
Ireland,17 August 1961,IRL,1961
Israel,7 September 2010,ISR,2010
Italy,29 March 1962,ITA,1962
Japan,28 April 1964,JPN,1964
Korea,12 December 1996,KOR,1996
Latvia,1 July 2016,LVA,2016
Lithuania,5 July 2018,LTU,2018
Luxembourg,7 December 1961,LUX,1961
Mexico,18 May 1994,MEX,1994
Netherlands,13 November 1961,NLD,1961
New Zealand,29 May 1973,NZL,1973
Norway,4 July 1961,NOR,1961
Poland,22 November 1996,POL,1996
Portugal,4 August 1961,PRT,1961
Slovak Republic,14 December 2000,SVK,2000
Slovenia,21 July 2010,SVN,2010
Spain,3 August 1961,ESP,1961
Sweden,28 September 1961,SWE,1961
Switzerland,28 September 1961,CHE,1961
Turkey,2 August 1961,TUR,1961
United Kingdom,2 May 1961,GBR,1961
United States,12 April 1961,USA,1961
